"","state","code","pop_2014","date","fips","cases","deaths"
"44783","South Carolina","SC",4832482,"2021-11-14",45,906945,13983
"44784","South Carolina","SC",4832482,"2021-01-23",45,413789,6479
"44785","South Carolina","SC",4832482,"2020-10-12",45,158055,3559
"44786","South Carolina","SC",4832482,"2021-06-12",45,594805,9776
"44787","South Carolina","SC",4832482,"2023-01-06",45,1780649,19426
"44788","South Carolina","SC",4832482,"2022-11-10",45,1729333,18660
"44789","South Carolina","SC",4832482,"2020-05-12",45,7927,355
"44790","South Carolina","SC",4832482,"2022-10-23",45,1718600,18527
"44791","South Carolina","SC",4832482,"2021-02-28",45,516823,8546
"44792","South Carolina","SC",4832482,"2021-06-09",45,594574,9761
"44793","South Carolina","SC",4832482,"2022-08-13",45,1637108,18215
"44794","South Carolina","SC",4832482,"2022-11-05",45,1725160,18633
"44795","South Carolina","SC",4832482,"2021-06-10",45,594659,9761
"44796","South Carolina","SC",4832482,"2020-12-13",45,252206,4739
"44797","South Carolina","SC",4832482,"2022-08-27",45,1661020,18245
"44798","South Carolina","SC",4832482,"2022-10-21",45,1718600,18527
"44799","South Carolina","SC",4832482,"2021-08-25",45,702894,10357
"44800","South Carolina","SC",4832482,"2021-11-23",45,914384,14135
"44801","South Carolina","SC",4832482,"2022-11-03",45,1725160,18633
"44802","South Carolina","SC",4832482,"2020-05-07",45,7142,316
"44803","South Carolina","SC",4832482,"2020-09-21",45,138124,3212
"44804","South Carolina","SC",4832482,"2022-11-13",45,1729333,19235
"44805","South Carolina","SC",4832482,"2022-08-06",45,1621121,18208
"44806","South Carolina","SC",4832482,"2020-10-13",45,158883,3576
"44807","South Carolina","SC",4832482,"2020-07-08",45,48909,884
"44808","South Carolina","SC",4832482,"2020-05-16",45,8661,380
"44809","South Carolina","SC",4832482,"2021-08-20",45,681659,10213
"44810","South Carolina","SC",4832482,"2021-01-28",45,431169,6903
"44811","South Carolina","SC",4832482,"2020-09-24",45,142707,3279
"44812","South Carolina","SC",4832482,"2021-12-25",45,944574,14550
"44813","South Carolina","SC",4832482,"2020-10-11",45,157406,3552
"44814","South Carolina","SC",4832482,"2020-07-03",45,41532,793
"44815","South Carolina","SC",4832482,"2022-09-26",45,1703439,18331
"44816","South Carolina","SC",4832482,"2021-10-03",45,860369,12570
"44817","South Carolina","SC",4832482,"2022-08-18",45,1650748,18227
"44818","South Carolina","SC",4832482,"2021-05-07",45,583373,9566
"44819","South Carolina","SC",4832482,"2021-10-18",45,887535,13319
"44820","South Carolina","SC",4832482,"2022-09-05",45,1674281,18263
"44821","South Carolina","SC",4832482,"2022-11-20",45,1732287,19250
"44822","South Carolina","SC",4832482,"2022-07-02",45,1546406,18033
"44823","South Carolina","SC",4832482,"2020-04-16",45,3931,109
"44824","South Carolina","SC",4832482,"2021-11-04",45,901314,13832
"44825","South Carolina","SC",4832482,"2020-06-11",45,16441,588
"44826","South Carolina","SC",4832482,"2021-04-20",45,570606,9355
"44827","South Carolina","SC",4832482,"2021-08-04",45,628202,9930
"44828","South Carolina","SC",4832482,"2020-08-31",45,118992,2720
"44829","South Carolina","SC",4832482,"2020-03-13",45,13,0
"44830","South Carolina","SC",4832482,"2021-09-21",45,832466,11828
"44831","South Carolina","SC",4832482,"2021-06-07",45,594225,9754
"44832","South Carolina","SC",4832482,"2021-05-12",45,585601,9603
"44833","South Carolina","SC",4832482,"2022-10-10",45,1712281,18390
"44834","South Carolina","SC",4832482,"2020-10-21",45,166357,3708
"44835","South Carolina","SC",4832482,"2020-06-09",45,15228,568
"44836","South Carolina","SC",4832482,"2021-12-03",45,921722,14272
"44837","South Carolina","SC",4832482,"2022-07-03",45,1546406,18033
"44838","South Carolina","SC",4832482,"2021-01-02",45,312718,5385
"44839","South Carolina","SC",4832482,"2020-04-20",45,4439,124
"44840","South Carolina","SC",4832482,"2022-10-29",45,1721693,18578
"44841","South Carolina","SC",4832482,"2021-10-23",45,891072,13472
"44842","South Carolina","SC",4832482,"2020-12-08",45,236954,4585
"44843","South Carolina","SC",4832482,"2021-07-28",45,613033,9894
"44844","South Carolina","SC",4832482,"2020-03-26",45,456,9
"44845","South Carolina","SC",4832482,"2020-07-07",45,47352,846
"44846","South Carolina","SC",4832482,"2020-04-15",45,3656,107
"44847","South Carolina","SC",4832482,"2022-11-06",45,1725160,18633
"44848","South Carolina","SC",4832482,"2022-10-06",45,1712281,18390
"44849","South Carolina","SC",4832482,"2021-06-11",45,594805,9776
"44850","South Carolina","SC",4832482,"2021-02-02",45,447904,7318
"44851","South Carolina","SC",4832482,"2021-09-14",45,806597,11349
"44852","South Carolina","SC",4832482,"2021-09-17",45,819204,11614
"44853","South Carolina","SC",4832482,"2021-06-03",45,593628,9739
"44854","South Carolina","SC",4832482,"2021-07-29",45,614912,9904
"44855","South Carolina","SC",4832482,"2022-11-17",45,1732287,19250
"44856","South Carolina","SC",4832482,"2021-01-31",45,443386,7042
"44857","South Carolina","SC",4832482,"2021-11-24",45,914946,14153
"44858","South Carolina","SC",4832482,"2020-03-08",45,6,0
"44859","South Carolina","SC",4832482,"2020-05-11",45,7792,346
"44860","South Carolina","SC",4832482,"2021-08-01",45,617148,9904
"44861","South Carolina","SC",4832482,"2022-08-02",45,1605165,18192
"44862","South Carolina","SC",4832482,"2022-09-21",45,1703439,18331
"44863","South Carolina","SC",4832482,"2020-09-25",45,143902,3297
"44864","South Carolina","SC",4832482,"2022-11-02",45,1725160,18633
"44865","South Carolina","SC",4832482,"2020-06-05",45,13453,538
"44866","South Carolina","SC",4832482,"2021-10-14",45,882455,13114
"44867","South Carolina","SC",4832482,"2021-06-29",45,596712,9817
"44868","South Carolina","SC",4832482,"2021-06-26",45,596144,9819
"44869","South Carolina","SC",4832482,"2021-02-06",45,462981,7611
"44870","South Carolina","SC",4832482,"2020-11-07",45,184742,4015
"44871","South Carolina","SC",4832482,"2020-12-10",45,241686,4627
"44872","South Carolina","SC",4832482,"2022-10-05",45,1712281,18390
"44873","South Carolina","SC",4832482,"2020-11-10",45,187738,4062
"44874","South Carolina","SC",4832482,"2021-07-05",45,597961,9841
"44875","South Carolina","SC",4832482,"2022-11-18",45,1732287,19250
"44876","South Carolina","SC",4832482,"2020-12-30",45,303475,5249
"44877","South Carolina","SC",4832482,"2020-07-12",45,56648,961
"44878","South Carolina","SC",4832482,"2022-10-26",45,1721693,18578
"44879","South Carolina","SC",4832482,"2022-12-30",45,1770059,19385
"44880","South Carolina","SC",4832482,"2022-12-25",45,1760204,19368
